Objective Function Value: 29.91532700


BusID	VR	VI	Pg	Qg	l	Pl	Ql	Qshunt

1	1.0000	0.0000	1.1827	-1.0000	1.0000	0.0000	0.0000	0.0000
2	1.0197	-0.0577	0.5045	0.2132	1.0000	0.2170	0.1270	0.0000
3	1.0464	-0.0864	0.1500	0.3943	1.0000	0.0240	0.0120	0.0000
4	1.0382	-0.1035	0.3500	0.6000	1.0000	0.0760	0.0160	0.0000
5	1.0185	-0.1701	0.3000	0.5000	1.0000	0.9420	0.1900	0.0000
6	1.0229	-0.1229	0.4000	0.6000	1.0000	0.0000	0.0000	0.0000
7	1.0126	-0.1502	0.0000	0.0000	1.0000	0.2280	0.1090	0.0000
8	1.0079	-0.1304	0.0000	0.0000	1.0000	0.3000	0.3000	0.0000
9	0.9781	-0.1736	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10	0.9548	-0.2000	0.0000	0.0000	1.0000	0.0580	0.0200	0.0000
11	0.9781	-0.1736	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
12	0.9679	-0.1925	0.0000	0.0000	1.0000	0.1120	0.0750	0.0000
13	0.9679	-0.1925	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
14	0.9528	-0.2019	0.0000	0.0000	1.0000	0.0320	0.0160	0.0000
15	0.9454	-0.2044	0.0000	0.0000	1.0000	0.0820	0.0250	0.0000
16	0.9537	-0.1994	0.0000	0.0000	1.0000	0.0350	0.0180	0.0000
17	0.9480	-0.2026	0.0000	0.0000	1.0000	0.0900	0.0580	0.0000
18	0.9330	-0.2132	0.0000	0.0000	1.0000	0.0320	0.0090	0.0000
19	0.9298	-0.2155	0.0000	0.0000	1.0000	0.0950	0.0340	0.0000
20	0.9350	-0.2126	0.0000	0.0000	1.0000	0.0220	0.0070	0.0000
21	0.9404	-0.2051	0.0000	0.0000	1.0000	0.1750	0.1120	0.0000
22	0.9412	-0.2048	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
23	0.9343	-0.2075	0.0000	0.0000	1.0000	0.0320	0.0160	0.0000
24	0.9298	-0.2071	0.0000	0.0000	1.0000	0.0870	0.0670	0.0000
25	0.9470	-0.2035	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
26	0.9271	-0.2072	0.0000	0.0000	1.0000	0.0350	0.0230	0.0000
27	0.9675	-0.1980	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
28	1.0124	-0.1321	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
29	0.9426	-0.2157	0.0000	0.0000	1.0000	0.0240	0.0090	0.0000
30	0.9273	-0.2285	0.0000	0.0000	1.0000	0.1060	0.0190	0.0000


TOTAL			2.8872	1.3075		2.8040	1.2620



Busi	Busk	Pik	Pki	Qik	Qki
1	2	0.8003	-0.7809	-0.6355	0.6397
1	3	0.3824	-0.3704	-0.3645	0.3706
2	4	0.2002	-0.1960	-0.2088	0.1822
3	4	0.4964	-0.4935	0.0117	-0.0124
2	5	0.5410	-0.5266	-0.1774	0.1936
2	6	0.3272	-0.3200	-0.1673	0.1498
4	6	0.5742	-0.5702	0.1650	-0.1610
5	7	-0.1154	0.1166	0.1164	-0.1348
6	7	0.3477	-0.3446	-0.0343	0.0258
6	8	0.3002	-0.2984	0.2514	-0.2547
6	9	0.2715	-0.2715	0.1875	-0.1658
6	10	0.1629	-0.1629	0.1125	-0.0927
9	11	0.0000	0.0000	0.0000	0.0000
9	10	0.2715	-0.2715	0.1658	-0.1545
4	12	0.3894	-0.3894	0.2492	-0.1989
12	13	0.0000	0.0000	0.0000	0.0000
12	14	0.0576	-0.0571	0.0221	-0.0211
12	15	0.1570	-0.1550	0.0696	-0.0656
12	16	0.0628	-0.0623	0.0322	-0.0312
14	15	0.0251	-0.0250	0.0051	-0.0050
16	17	0.0273	-0.0272	0.0132	-0.0130
15	18	0.0578	-0.0574	0.0169	-0.0160
18	19	0.0254	-0.0253	0.0070	-0.0069
19	20	-0.0697	0.0699	-0.0271	0.0275
10	20	0.0928	-0.0919	0.0367	-0.0345
10	17	0.0630	-0.0628	0.0455	-0.0450
10	21	0.1498	-0.1486	0.0994	-0.0969
10	22	0.0709	-0.0703	0.0456	-0.0445
21	22	-0.0264	0.0264	-0.0151	0.0151
15	23	0.0401	-0.0399	0.0288	-0.0282
22	24	0.0439	-0.0435	0.0293	-0.0288
23	24	0.0079	-0.0078	0.0122	-0.0122
24	25	-0.0356	0.0360	-0.0260	0.0267
25	26	0.0355	-0.0350	0.0237	-0.0230
25	27	-0.0715	0.0724	-0.0505	0.0522
28	27	0.2055	-0.2055	0.1039	-0.0859
27	29	0.0620	-0.0611	0.0169	-0.0151
27	30	0.0710	-0.0693	0.0169	-0.0136
29	30	0.0371	-0.0367	0.0061	-0.0054
8	28	-0.0016	0.0016	-0.0453	0.0010
6	28	0.2079	-0.2071	0.0942	-0.1049


Total Ploss: 0.0832
Total Qloss: 0.0455
Total Load Supplied: 100.0000%
