Objective Function Value: 26.97861557


BusID	VR	VI	Pg	Qg	l	Pl	Ql	Qshunt

1	1.0000	0.0000	2.0000	-0.4730	1.0000	0.0000	0.0000	0.0000
2	0.9903	-0.0870	0.0000	0.2924	1.0000	0.2170	0.1270	0.0000
3	0.9963	-0.1144	0.0000	0.1196	1.0000	0.0240	0.0120	0.0000
4	0.9889	-0.1351	0.2149	0.5759	1.0000	0.0760	0.0160	0.0000
5	0.9585	-0.1953	0.3000	0.3161	1.0000	0.9420	0.1900	0.0000
6	0.9735	-0.1535	0.4000	0.6000	1.0000	0.0000	0.0000	0.0000
7	0.9579	-0.1787	0.0000	0.0000	1.0000	0.2280	0.1090	0.0000
8	0.9574	-0.1607	0.0000	0.0000	1.0000	0.3000	0.3000	0.0000
9	0.9235	-0.2049	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
10	0.8975	-0.2316	0.0000	0.0000	1.0000	0.0580	0.0200	0.0000
11	0.9235	-0.2049	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
12	0.9110	-0.2247	0.0000	0.0000	1.0000	0.1120	0.0750	0.0000
13	0.9110	-0.2247	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
14	0.8948	-0.2338	0.0000	0.0000	1.0000	0.0320	0.0160	0.0000
15	0.8869	-0.2360	0.0000	0.0000	1.0000	0.0820	0.0250	0.0000
16	0.8961	-0.2312	0.0000	0.0000	1.0000	0.0350	0.0180	0.0000
17	0.8902	-0.2341	0.0000	0.0000	1.0000	0.0900	0.0580	0.0000
18	0.8737	-0.2446	0.0000	0.0000	1.0000	0.0320	0.0090	0.0000
19	0.8702	-0.2468	0.0000	0.0000	1.0000	0.0950	0.0340	0.0000
20	0.8759	-0.2440	0.0000	0.0000	1.0000	0.0220	0.0070	0.0000
21	0.8822	-0.2363	0.0000	0.0000	1.0000	0.1750	0.1120	0.0000
22	0.8830	-0.2360	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
23	0.8753	-0.2387	0.0000	0.0000	1.0000	0.0320	0.0160	0.0000
24	0.8707	-0.2378	0.0000	0.0000	1.0000	0.0870	0.0670	0.0000
25	0.8892	-0.2348	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
26	0.8681	-0.2376	0.0000	0.0000	1.0000	0.0350	0.0230	0.0000
27	0.9112	-0.2300	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
28	0.9619	-0.1626	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
29	0.8840	-0.2473	0.0000	0.0000	1.0000	0.0240	0.0090	0.0000
30	0.8672	-0.2599	0.0000	0.0000	1.0000	0.1060	0.0190	0.0000


TOTAL			2.9149	1.4310		2.8040	1.2620



Busi	Busk	Pik	Pki	Qik	Qki
1	2	1.4126	-1.3726	-0.3290	0.3965
1	3	0.5874	-0.5711	-0.1440	0.1698
2	4	0.2431	-0.2391	-0.1143	0.0898
3	4	0.5471	-0.5431	-0.0623	0.0652
2	5	0.5501	-0.5357	-0.0404	0.0606
2	6	0.3623	-0.3544	-0.0763	0.0637
4	6	0.5340	-0.5303	0.1512	-0.1472
5	7	-0.1063	0.1072	0.0655	-0.0829
6	7	0.3383	-0.3352	0.0195	-0.0261
6	8	0.3006	-0.2986	0.2556	-0.2574
6	9	0.2731	-0.2731	0.1928	-0.1685
6	10	0.1639	-0.1639	0.1157	-0.0935
9	11	0.0000	0.0000	0.0000	0.0000
9	10	0.2731	-0.2731	0.1685	-0.1558
4	12	0.3872	-0.3872	0.2536	-0.1986
12	13	0.0000	0.0000	0.0000	-0.0000
12	14	0.0574	-0.0569	0.0222	-0.0211
12	15	0.1561	-0.1539	0.0696	-0.0653
12	16	0.0617	-0.0611	0.0317	-0.0306
14	15	0.0249	-0.0247	0.0051	-0.0050
16	17	0.0261	-0.0261	0.0126	-0.0125
15	18	0.0572	-0.0567	0.0167	-0.0158
18	19	0.0247	-0.0247	0.0068	-0.0067
19	20	-0.0703	0.0705	-0.0273	0.0278
10	20	0.0937	-0.0925	0.0373	-0.0348
10	17	0.0642	-0.0639	0.0462	-0.0455
10	21	0.1501	-0.1488	0.1000	-0.0971
10	22	0.0711	-0.0704	0.0459	-0.0446
21	22	-0.0262	0.0262	-0.0149	0.0149
15	23	0.0394	-0.0391	0.0286	-0.0280
22	24	0.0442	-0.0438	0.0297	-0.0291
23	24	0.0071	-0.0071	0.0120	-0.0119
24	25	-0.0361	0.0365	-0.0259	0.0267
25	26	0.0356	-0.0350	0.0238	-0.0230
25	27	-0.0721	0.0731	-0.0506	0.0525
28	27	0.2065	-0.2065	0.1069	-0.0869
27	29	0.0621	-0.0611	0.0172	-0.0152
27	30	0.0712	-0.0693	0.0172	-0.0135
29	30	0.0371	-0.0367	0.0062	-0.0055
8	28	-0.0014	0.0014	-0.0426	0.0022
6	28	0.2088	-0.2079	0.1000	-0.1091


Total Ploss: 0.1109
Total Qloss: 0.1690
Total Load Supplied: 100.0000%
