iteration,answer_type,qhd_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent,log_objective,log_max_constraint_residual,log_l2_constraint_residual,log_active_load_supplied_percent
0,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614950204344,1.1082950843698895,1.1100160009246485,0.4896,0.7674901103519562,133.33333333333334,1.281536,0.4896,0.7674898897116,133.333333
0,refined,0.098965903932,0.5317106559725232,-0.4327447520405232,0.008019416648895196,0.1883523315061203,0.1885229742688673,0.030033000000000032,0.08174025386258608,72.50266666666667,0.0989651170761,0.03003218519327,0.08174037255646,72.502725
1,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614882227943,1.1082950843698895,1.1100160008868112,0.4896,0.768494603128491,133.33333333333334,1.281536,0.4896,0.7684954430744,133.333333
1,refined,0.1222335082570175,0.5317106559725232,-0.4094771477155057,0.0073922910275772075,0.1765009552204319,0.17665569099341608,0.02595101724029028,0.07721204267347997,74.299,0.122233054978,0.02594993735992,0.07721212771628,74.298825
2,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.061786148458120145,1.04380303554753,1.0456300995856647,0.4896,0.755985881076536,133.33333333333334,1.281536,0.4896,0.7559859071335,133.333333
2,refined,0.15261035364574999,0.5317106559725232,-0.3791003023267732,0.00683982318917594,0.16340280167457313,0.163545891958065,0.024017594421618313,0.07146305475746949,76.21999999999998,0.15261096883,0.02401850174207,0.071462935053,76.220134
3,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614950204344,1.1082950843698895,1.1100160009246485,0.4896,0.7686163509902714,133.33333333333334,1.281536,0.4896,0.7686161952589,133.333333
3,refined,0.17845410619575,0.5317106559725232,-0.35325654977677323,0.006376089107795426,0.1522216262918408,0.1523551050120848,0.022375791203717438,0.06657442737163947,77.84400000000001,0.178454302142,0.02237428199459,0.06657438862985,77.843892
4,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.061786148458120145,1.04380303554753,1.0456300995856647,0.4896,0.755985881076536,133.33333333333334,1.281536,0.4896,0.7559859071335,133.333333
4,refined,0.20213744529783,0.5317106559725232,-0.3295732106746932,0.005944447888059762,0.14199517242148077,0.14211954633934035,0.020869441879386136,0.06209659421042826,79.33266666666667,0.202138020173,0.02087114148225,0.06209648366599,79.332987
5,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614950204344,1.04380303554753,1.04563009964735,0.4896,0.7466039465023212,133.33333333333334,1.281536,0.4896,0.7466038115957,133.333333
5,refined,0.22414987066647002,0.5317106559725232,-0.3075607853060532,0.005550022123088828,0.13249386692702153,0.13261005813603305,0.01947630639236933,0.05793656991816703,80.71666666666665,0.224149379721,0.01947448543094,0.05793666016289,80.716337
6,coarse,1.441944,0.5317106559725232,0.9102333440274767,0.06178614871707786,1.04380303554753,1.0456300996009664,0.4896,0.7515454133624524,160.0,1.441944,0.4896,0.7515423551525,160.0
6,refined,0.2446533270028575,0.5317106559725232,-0.28705732896966574,0.005176817973266899,0.12364301524780336,0.12375134206907364,0.0181712619570778,0.05406336776149695,82.00533333333334,0.244653667041,0.01817224327149,0.05406329964275,82.005641
7,coarse,1.441944,0.5317106559725232,0.9102333440274767,0.06178614871707786,1.04380303554753,1.0456300996009664,0.4896,0.7515454133624524,160.0,1.441944,0.4896,0.7515423551525,160.0
7,refined,0.2641803576525575,0.5317106559725232,-0.2675302983199657,0.004825313895432966,0.11523542761569555,0.11533640982778018,0.01693626223849065,0.05037600064052361,83.23133333333335,0.264179928202,0.01693520123984,0.05037607318408,83.231054
8,coarse,1.441944,0.5317106559725232,0.9102333440274767,0.061786148458120145,1.04380303554753,1.0456300995856647,0.4896,0.7517410806834135,160.0,1.441944,0.4896,0.7517411068875,160.0
8,refined,0.28267764022575,0.5317106559725232,-0.24903301574677322,0.0044907375675360146,0.10726272870215521,0.1073566937481433,0.01576164448262743,0.04688441922877336,84.391,0.282676801348,0.01576473268748,0.04688457673485,84.390834
9,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614837719586,1.04380303554753,1.045630099580883,0.4896,0.759163389797669,133.33333333333334,1.281536,0.4896,0.7591617954272,133.333333
9,refined,0.29978981326448,0.5317106559725232,-0.2319208427080432,0.004182392220204877,0.09988319486777548,0.0999707208220369,0.014680231645271324,0.04365543088999939,85.467,0.299790643198,0.01468107893246,0.0436552700927,85.467386
10,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614837719586,1.04380303554753,1.045630099580883,0.4896,0.759163389797669,133.33333333333334,1.281536,0.4896,0.7591617954272,133.333333
10,refined,0.31575141169293747,0.5317106559725232,-0.21595924427958574,0.003894642965810744,0.09300602113047189,0.09308752983269522,0.013672517939548934,0.04064452287041441,86.46733333333334,0.315752222542,0.01367237733825,0.04064436473846,86.467683
11,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614837719586,1.04380303554753,1.045630099580883,0.4896,0.759163389797669,133.33333333333334,1.281536,0.4896,0.7591617954272,133.333333
11,refined,0.3309271818129375,0.5317106559725232,-0.2007834741595857,0.00362168107276941,0.0864808442654156,0.08655664618417191,0.012713723199206911,0.03778276620049904,87.42033333333335,0.33092731766,0.01271118895175,0.0377827349063,87.420811
12,coarse,1.281536,0.5317106559725232,0.7498253440274768,0.06178614882227943,1.111373323817594,1.1130894811647694,0.4896,0.7755989456402054,133.33333333333334,1.281536,0.4896,0.7755998567975,133.333333
12,refined,0.34519724766491994,0.5317106559725232,-0.18651340830760327,0.003366385799440724,0.08033122619930845,0.08040173167311222,0.01180877464241778,0.03509255779977403,88.31566666666666,0.345196976362,0.01180733634781,0.03509260660889,88.315795
