iteration,solver_iteration,stage,tnc_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent
0,0,initial QCE iter 0,0.0,0.5317106559725219,-0.5317106559725219,0.11487553338014482,2.4590988199923096,2.461780533406043,3.2544000000000004,4.121755522951701,0.0
1,1,rho=1e+02,0.0,0.5317106559725219,-0.5317106559725219,0.11487553338014482,2.4590988199923096,2.461780533406043,3.2543999999999995,4.1217555229517,0.0
2,2,rho=1e+02,0.01174154295108974,0.5317106559725219,-0.5199691130214321,0.11390862019767256,1.9468278744764649,1.950157415849779,0.6514099135005351,1.028905907226708,37.79949608071499
3,3,rho=1e+02,0.02225447278663375,0.5317106559725219,-0.5094561831858881,0.1151323337116203,1.8414814062583216,1.845077023828818,0.22272688745054492,0.3330204069551336,67.09466223057076
4,4,rho=1e+02,0.038916154516664296,0.5317106559725219,-0.49279450145585757,0.08065434618735344,1.80963119075331,1.8114276607433575,0.1658122897971589,0.27055269999196807,64.76351315160804
5,5,rho=1e+02,0.46064688846355506,0.5317106559725219,-0.07106376750896681,0.07758066334038315,1.8015550700749643,1.803224730818969,0.043158481107278934,0.09546978482529568,79.8698859379057
6,6,rho=1e+02,0.3986093115277502,0.5317106559725219,-0.13310134444477167,0.07772485488939929,1.7957769560604604,1.7974582134184236,0.01910985739712267,0.05537380088908604,85.64841187263103
7,7,rho=1e+02,0.33271274734242945,0.5317106559725219,-0.19899790863009242,0.07931730100311828,1.7942343219558738,1.7959866470335668,0.0213496583377034,0.054287412654101225,82.99528789447658
8,8,rho=1e+02,0.3152175550956813,0.5317106559725219,-0.2164931008768406,0.07953223845966892,1.7940061519253654,1.7957682061169429,0.01954668274845414,0.055950992311378456,81.11758454363432
9,9,rho=1e+02,0.31456188818275044,0.5317106559725219,-0.21714876778977144,0.07990914094113793,1.793081880776522,1.7948615829570314,0.018872482004536895,0.055872750957903256,81.25042191396305
10,10,rho=1e+02,0.30700803283286693,0.5317106559725219,-0.22470262313965494,0.08252442704690535,1.7879478771813453,1.7898513604701087,0.02025703884593094,0.05642371512579073,81.10902914954389
11,11,rho=1e+02,0.2877567722186583,0.5317106559725219,-0.24395388375386357,0.08878992134093273,1.774759802324221,1.7769794613550367,0.01987796315953949,0.058301863975117496,80.85680464298227
12,12,rho=1e+02,0.27995058052360333,0.5317106559725219,-0.25176007544891854,0.08944215906264723,1.7663461448678905,1.768609228548649,0.01967039370391835,0.058224763919507656,80.90319590655703
13,13,rho=1e+02,0.28010444649384497,0.5317106559725219,-0.2516062094786769,0.08815690390656253,1.766296472522785,1.7684950858152884,0.020018275232910193,0.05799234321052037,80.95618272653736
14,14,rho=1e+02,0.30196241574254484,0.5317106559725219,-0.22974824022997703,0.0865746507574664,1.7662333150057332,1.768353837101025,0.018664369359030653,0.05367272846603687,82.35416242748065
15,15,rho=1e+02,0.3129680062976818,0.5317106559725219,-0.21874264967484008,0.08426411969423193,1.7672418229766444,1.769249587465165,0.01785084674192483,0.05135602462899744,82.9466246043342
16,16,rho=1e+02,0.3112752798396056,0.5317106559725219,-0.22043537613291625,0.08364808208609777,1.767725181260353,1.7697031723141115,0.017815788975708485,0.05163692355826867,82.57961335785966
17,17,rho=1e+02,0.30746467192681715,0.5317106559725219,-0.22424598404570473,0.08276590285318043,1.7683766193841273,1.7703124195066633,0.017862812430749025,0.05232741826713024,82.71982658833092
18,18,rho=1e+02,0.3063335957852078,0.5317106559725219,-0.22537706018731407,0.08257988974480132,1.7684306184107699,1.7703576729923707,0.01778016494876962,0.05253812888255904,82.5858658745561
19,19,rho=1e+02,0.3079400017616218,0.5317106559725219,-0.2237706542109001,0.08303890415620982,1.7679871842186745,1.7699361974842318,0.017502920734136507,0.05222238585876381,82.60088613535329
20,20,rho=1e+02,0.30754692216650936,0.5317106559725219,-0.2241637338060125,0.08335686353565491,1.7673472108364916,1.7693118804637096,0.0176203985683083,0.052292645959463625,82.54735817232198
21,21,rho=1e+02,0.30392570720369244,0.5317106559725219,-0.22778494876882943,0.0839045050281671,1.7654081501342023,1.7674008890244135,0.01775271644725865,0.052971289266154804,82.37576037374667
22,22,rho=1e+02,0.3011152042040967,0.5317106559725219,-0.23059545176842516,0.0834851579549278,1.7653344472115848,1.7673074101894644,0.01807690942447082,0.05348732647681293,82.16441053968501
23,23,rho=1e+02,0.301029855976376,0.5317106559725219,-0.23068079999614588,0.08345803984810964,1.7653306219852847,1.7673023084164863,0.018096913333135733,0.053501862503105346,82.1912644036422
24,24,rho=1e+02,0.3010160832766808,0.5317106559725219,-0.2306945726958411,0.08301470366399645,1.763763155348358,1.765715693193221,0.01823860114086731,0.05348795671348296,82.15679399922908
25,25,rho=1e+02,0.3019448167137522,0.5317106559725219,-0.2297658392587697,0.08310991370638712,1.7634796214692297,1.7654369524549838,0.017962448318263602,0.05330265998750387,82.23519669542084
26,26,rho=1e+02,0.30465993423814947,0.5317106559725219,-0.2270507217343724,0.08191211528003778,1.757378660002769,1.7592866023655096,0.017851885481154156,0.05274885678437514,82.33454589231123
27,27,rho=1e+02,0.30607975272955174,0.5317106559725219,-0.22563090324297014,0.08114336336300675,1.753328237986065,1.7552048756590157,0.01786479627977927,0.05246885604444206,82.44474690480942
