method,start_name,success,message,objective,objective_gap_pct,l2_h,max_abs_h,load_supplied_pct,runtime_s,iterations,function_evals,bus_l2_to_reference,branch_l2_to_reference,combined_l2_to_reference,pg_l2_to_reference,qg_l2_to_reference,first_l2_le_0.01,first_l2_le_0.0001,first_l2_le_1e-06,source
SQP (SLSQP),flat_start,True,Optimization terminated successfully,0.5317106559725154,-2.375877272697835e-12,4.855851347805142e-13,3.436417816971016e-13,99.99999999999999,0.03305600001476705,10,10,6.120181133689925e-09,1.300336847214756e-07,1.301776316398224e-07,7.160957954385514e-15,1.4721489394067545e-07,2,3,4,scipy.optimize.minimize(method='SLSQP')
SQP (SLSQP),qce_best_l2_iter,True,Optimization terminated successfully,0.5317106559725278,-6.661338147750939e-14,2.8104411577640698e-15,1.5681900222830336e-15,100.00000000000001,0.03406309999991208,11,12,4.1698215034519745e-11,8.85946892523598e-10,8.869276393873881e-10,1.6653345369377348e-16,1.0030064508749176e-09,1,1,9,scipy.optimize.minimize(method='SLSQP')
SQP (SLSQP),qce_final_iter,True,Optimization terminated successfully,0.5317106559725281,0.0,2.4141893329504625e-15,1.4918621893400541e-15,99.99999999999999,0.03461930004414171,11,12,0.0,0.0,0.0,0.0,0.0,1,1,9,scipy.optimize.minimize(method='SLSQP')
SQP (SLSQP),random_perturbed_flat,False,Positive directional derivative for linesearch,0.4380149807616775,-17.62155303046843,3.4271363980363683,1.7488460085990694,82.5716654646547,0.054160900006536394,21,22,0.14324009113174987,0.43063691945919425,0.4538346396086757,0.1721053019270846,0.10623895197995961,,,,scipy.optimize.minimize(method='SLSQP')
Interior-point (trust-constr),flat_start,True,`gtol` termination condition is satisfied.,0.5317107071722468,9.629244424047556e-06,9.881621254835126e-13,7.032534277140456e-13,100.00000000000004,0.1944128999602981,33,26,1.3910021089991265e-08,2.9642967171184235e-07,2.9675585749554236e-07,3.156587714346798e-07,1.1697530489267805e-07,9,15,15,scipy.optimize.minimize(method='trust-constr')
Interior-point (trust-constr),qce_best_l2_iter,True,`gtol` termination condition is satisfied.,0.5317107071722312,9.629241493058771e-06,1.075808668644828e-12,7.663591983231299e-13,99.99999999999994,0.7911649000016041,115,123,1.3880587694155017e-08,2.9581361511523283e-07,2.9613909840187977e-07,3.1565874169325676e-07,1.149234267423861e-07,1,14,109,scipy.optimize.minimize(method='trust-constr')
Interior-point (trust-constr),qce_final_iter,True,`gtol` termination condition is satisfied.,0.531710666212515,1.925856984996699e-06,5.722519770151539e-14,3.010439120210151e-14,99.99999999999987,0.8546159000252374,125,134,2.781013422282548e-09,5.9265193874164836e-08,5.933040738607195e-08,6.313200808307292e-08,2.3325735546777315e-08,1,14,117,scipy.optimize.minimize(method='trust-constr')
Interior-point (trust-constr),random_perturbed_flat,True,`gtol` termination condition is satisfied.,0.5317106662125233,1.925858561513394e-06,8.086384167949855e-14,5.517808432387028e-14,100.00000000000057,0.3221688999910839,48,53,2.8745890783402593e-09,6.122706773812299e-08,6.129451106076313e-08,6.313202349709836e-08,2.918492906042907e-08,10,13,13,scipy.optimize.minimize(method='trust-constr')
Truncated Newton (TNC penalty),flat_start,True,rho=1e+08: Max. number of function evaluations reached,0.5317103628709375,-5.5124264908279486e-05,6.416908182985225e-08,3.0913375193009074e-08,99.99998120425884,13.828696699987631,504,4979,2.096415436267847e-05,0.0004462514586525919,0.0004467436178813394,1.664780426291479e-07,0.0005052175156174062,195,232,304,scipy.optimize.minimize(method='TNC') on staged equality-penalty objective
Truncated Newton (TNC penalty),qce_best_l2_iter,True,rho=1e+08: Max. number of function evaluations reached,0.531723322219192,0.002382169046577509,5.227590728399125e-08,1.7411952685231213e-08,99.9999830279024,16.039824600040447,569,5854,0.0012486344346073818,0.02654354912931316,0.026572901390919824,7.194269378507645e-06,0.030050688447654534,208,293,371,scipy.optimize.minimize(method='TNC') on staged equality-penalty objective
