plot_iteration,tnc_solver_iteration,tnc_stage,tnc_objective,tnc_objective_gap_pct_vs_sqp,tnc_l2_h,tnc_max_abs_h,tnc_load_supplied_pct,qhdsb_solver_iteration,qhdsb_stage,qhdsb_objective,qhdsb_objective_gap_pct_vs_sqp,qhdsb_l2_h,qhdsb_max_abs_h,qhdsb_load_supplied_pct,objective_delta_tnc_minus_qhdsb,objective_gap_delta_pct_tnc_minus_qhdsb,l2_delta_tnc_minus_qhdsb,l2_ratio_tnc_over_qhdsb,max_abs_delta_tnc_minus_qhdsb,max_abs_ratio_tnc_over_qhdsb,lower_l2_method,lower_objective_method,both_l2_le_1e_3,tnc_l2_le_1e_3,qhdsb_l2_le_1e_3,both_max_abs_le_1e_5
0,0,initial,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,0,initial,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,0.0,0.0,0.0,1.0,0.0,1.0,tie,tie,False,False,False,False
1,1,rho=1e+02,0.5322261663709653,0.0969531817063718,0.14253181586262276,0.0631477100312477,95.20227161933676,0,,0.0,-100.0,0.8431942016919624,0.32929871989395576,80.0,0.5322261663709653,100.09695318170637,-0.7006623858293396,0.1690379459163938,-0.26615100986270807,0.19176421351283474,Truncated Newton,QHD-SB coarse-only,False,False,False,False
2,2,rho=1e+02,0.49460500383345696,-6.9785421304380035,0.0512736086406911,0.023905270225651552,97.89611152488348,1,,0.0,-100.0,1.3679708137890614,0.6420207480539549,80.0,0.49460500383345696,93.021457869562,-1.3166972051483703,0.037481507736756,-0.6181154778283033,0.03723442006837226,Truncated Newton,QHD-SB coarse-only,False,False,False,False
3,3,rho=1e+02,0.49068164894569694,-7.716416168449147,0.04373037902245745,0.02244343041210104,94.19043141060594,2,,0.0,-100.0,2.0034955432623254,0.7671458234211125,0.0,0.49068164894569694,92.28358383155086,-1.959765164239868,0.021827040828476484,-0.7447023930090114,0.02925575519920556,Truncated Newton,QHD-SB coarse-only,False,False,False,False
4,4,rho=1e+02,0.22910424718441091,-56.91185711421062,0.06457355425009463,0.02298407467291022,77.7703932051236,3,,0.0,-100.0,1.7026166486885406,0.7270001596315895,80.0,0.22910424718441091,43.08814288578938,-1.6380430944384459,0.03792606767931767,-0.7040160849586793,0.03161495134273079,Truncated Newton,QHD-SB coarse-only,False,False,False,False
5,5,rho=1e+02,0.22910424718441091,-56.91185711421062,0.06457355425009463,0.02298407467291022,77.7703932051236,4,,0.0,-100.0,1.2934717799927946,0.8549966289744467,152.0,0.22910424718441091,43.08814288578938,-1.2288982257427,0.04992266182293853,-0.8320125543015365,0.026882064670218888,Truncated Newton,QHD-SB coarse-only,False,False,False,False
6,6,rho=1e+02,0.21830853400421948,-58.9422307881114,0.06383991629524421,0.022915217455175135,80.61963096917155,5,,0.0,-100.0,1.152719651430395,0.5049325637406049,-107.19999999999999,0.21830853400421948,41.0577692118886,-1.088879735135151,0.05538199701551551,-0.4820173462854298,0.045382728508172016,Truncated Newton,QHD-SB coarse-only,False,False,False,False
7,7,rho=1e+02,0.23374691621858157,-56.0387000724961,0.060120393401715495,0.021036752800521807,80.37071029397843,6,,0.0,-100.0,1.1309473819051954,0.5654936075936413,184.4,0.23374691621858157,43.9612999275039,-1.0708269885034798,0.05315931966740717,-0.5444568547931194,0.037200690720519396,Truncated Newton,QHD-SB coarse-only,False,False,False,False
8,8,rho=1e+02,0.2402116783736179,-54.822857944372494,0.058156733543347626,0.02032032486999233,81.0406047179314,7,,0.0,-100.0,0.9374833723072421,0.4669403493816688,26.935999999999996,0.2402116783736179,45.177142055627506,-0.8793266387638945,0.0620349493775212,-0.4466200245116765,0.04351803157919611,Truncated Newton,QHD-SB coarse-only,False,False,False,False
9,9,rho=1e+02,0.2402116783736179,-54.822857944372494,0.058156733543347626,0.02032032486999233,81.0406047179314,8,,0.0,-100.0,0.5248184139347776,0.22288467051608246,26.936,0.2402116783736179,45.177142055627506,-0.46666168039142997,0.11081305838208474,-0.20256434564609013,0.09116968350914961,Truncated Newton,QHD-SB coarse-only,False,False,False,False
10,10,rho=1e+02,0.2545452568744436,-52.12711010862358,0.055401360934726716,0.019813218721223352,81.66581066506407,9,,0.0,-100.0,0.5975132138794325,0.22517352,111.96656,0.2545452568744436,47.87288989137642,-0.5421118529447058,0.09271989246066402,-0.20536030127877664,0.08799089129673575,Truncated Newton,QHD-SB coarse-only,False,False,False,False
11,11,rho=1e+02,0.24722350188565956,-53.50412877592717,0.054434680129336735,0.019533708459647012,81.88950764483117,10,,0.0,-100.0,0.6341535380287128,0.34609530609166184,26.936,0.24722350188565956,46.49587122407283,-0.579718857899376,0.08583832915061665,-0.3265615976320148,0.05644025826364023,Truncated Newton,QHD-SB coarse-only,False,False,False,False
12,12,rho=1e+02,0.24799944308305413,-53.35819579740235,0.05407155681981174,0.01840127542525087,82.11964691250338,11,,0.0,-100.0,0.5684335283556723,0.23718727011546725,69.45128,0.24799944308305413,46.64180420259765,-0.5143619715358605,0.09512379921752054,-0.21878599469021637,0.0775812100552141,Truncated Newton,QHD-SB coarse-only,False,False,False,False
13,13,rho=1e+02,0.25204541270403236,-52.59726133510952,0.05322126439786734,0.01781487985411931,82.40190597743752,12,,0.0,-100.0,0.4277715647646672,0.23389777807176929,69.45128,0.25204541270403236,47.40273866489048,-0.37455030036679987,0.12441515234222336,-0.21608289821764998,0.07616523765631063,Truncated Newton,QHD-SB coarse-only,False,False,False,False
14,14,rho=1e+02,0.2531011961278814,-52.39869780963006,0.052983068902508104,0.017901057994384045,82.51549222092623,13,,0.060286163226115144,-88.66184783980896,0.6025967899609246,0.3198587351979829,115.36778240000002,0.19281503290176627,36.2631500301789,-0.5496137210584164,0.08792457873189764,-0.3019576772035989,0.05596551234814278,Truncated Newton,QHD-SB coarse-only,False,False,False,False
15,15,rho=1e+02,0.25309218057007715,-52.40039338554207,0.052948673099536187,0.01781936582259619,82.55810863719012,14,,0.0,-100.0,0.35093395643360625,0.22153470423692867,69.45128000000001,0.25309218057007715,47.59960661445793,-0.29798528333407004,0.15087930970724867,-0.20371533841433248,0.08043600159159982,Truncated Newton,QHD-SB coarse-only,False,False,False,False
16,16,rho=1e+02,0.2525023282105183,-52.511328224431075,0.05299190099606113,0.017811096302417687,82.39251747205722,15,,0.05425567905915326,-89.79601434544946,0.26480126898377415,0.10064536777489337,79.78249304,0.19824664915136506,37.28468612101839,-0.21180936798771302,0.200119513019812,-0.08283427147247568,0.17696886301071055,Truncated Newton,QHD-SB coarse-only,False,False,False,False
