plot_iteration,tnc_solver_iteration,tnc_stage,tnc_objective,tnc_objective_gap_pct_vs_sqp,tnc_l2_h,tnc_max_abs_h,tnc_load_supplied_pct,qhdsb_solver_iteration,qhdsb_stage,qhdsb_objective,qhdsb_objective_gap_pct_vs_sqp,qhdsb_l2_h,qhdsb_max_abs_h,qhdsb_load_supplied_pct,objective_delta_tnc_minus_qhdsb,objective_gap_delta_pct_tnc_minus_qhdsb,l2_delta_tnc_minus_qhdsb,l2_ratio_tnc_over_qhdsb,max_abs_delta_tnc_minus_qhdsb,max_abs_ratio_tnc_over_qhdsb,lower_l2_method,lower_objective_method,both_l2_le_1e_3,tnc_l2_le_1e_3,qhdsb_l2_le_1e_3,both_max_abs_le_1e_5
0,0,initial,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,0,initial,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,0.0,0.0,0.0,1.0,0.0,1.0,tie,tie,False,False,False,False
1,1,rho=1e+02,0.5322261663709653,0.0969531817063718,0.14253181586262276,0.0631477100312477,95.20227161933676,0,,0.0,-100.0,0.8431942016919624,0.32929871989395576,80.0,0.5322261663709653,100.09695318170637,-0.7006623858293396,0.1690379459163938,-0.26615100986270807,0.19176421351283474,Truncated Newton,QHD-SB coarse-only,False,False,False,False
5,5,rho=1e+02,0.22910424718441091,-56.91185711421062,0.06457355425009463,0.02298407467291022,77.7703932051236,4,,0.0,-100.0,1.2934717799927946,0.8549966289744467,152.0,0.22910424718441091,43.08814288578938,-1.2288982257427,0.04992266182293853,-0.8320125543015365,0.026882064670218888,Truncated Newton,QHD-SB coarse-only,False,False,False,False
10,10,rho=1e+02,0.2545452568744436,-52.12711010862358,0.055401360934726716,0.019813218721223352,81.66581066506407,9,,0.0,-100.0,0.5975132138794325,0.22517352,111.96656,0.2545452568744436,47.87288989137642,-0.5421118529447058,0.09271989246066402,-0.20536030127877664,0.08799089129673575,Truncated Newton,QHD-SB coarse-only,False,False,False,False
25,25,rho=1e+02,0.25053743788948685,-52.880869496354165,0.052952271131706426,0.017815837966077316,82.36032252036536,24,,0.6222853650345779,17.034586018665298,0.14891481245944843,0.07223355577010737,110.87051295333332,-0.37174792714509103,-69.91545551501946,-0.09596254132774201,0.35558766960221677,-0.054417717804030055,0.2466421288020006,Truncated Newton,Truncated Newton,False,False,False,False
50,50,rho=1e+02,0.2505289432649135,-52.88246709920037,0.05295340190525478,0.01780522122751281,82.3493867918828,49,,0.5157864987530251,-2.99489149608575,0.041710853177813784,0.019644999473983904,96.96760675666668,-0.2652575554881116,-49.88757560311462,0.011242548727440994,1.269535333634004,-0.0018397782464710938,0.906348775987114,QHD-SB coarse-only,Truncated Newton,False,False,False,False
100,100,rho=1e+02,0.25050590963513375,-52.88679908493753,0.05295752501316199,0.017808402937640605,82.34787926144959,99,,0.5496881334764051,3.3810639869526815,0.00600696236155805,0.002769970278342193,100.19127603666666,-0.29918222384127136,-56.26786307189021,0.04695056265160394,8.81602411096616,0.015038432659298412,6.429095314444602,QHD-SB coarse-only,Truncated Newton,False,False,False,False
150,150,rho=1e+02,0.2505388007163007,-52.88061318649869,0.052951283606149445,0.017807365784226092,82.34905313951177,149,,0.5385945943169822,1.2946775219057738,0.0026013244126877953,0.0010605609620261691,99.77552328333334,-0.2880557936006815,-54.17529070840447,0.05034995919346165,20.35550942738357,0.016746804822199923,16.790515983358155,QHD-SB coarse-only,Truncated Newton,False,False,False,False
195,195,rho=1e+04,0.5451408848252194,2.5258528678772985,0.0037558944514663488,0.0016299488317154387,99.35302482527304,194,,0.5378903015402132,1.1622196204404078,0.0016494830328342357,0.001153264091174444,99.88218995000003,0.0072505832850061624,1.3636332474368906,0.0021064114186321132,2.277013086344245,0.00047668474054099463,1.4133352839032345,QHD-SB coarse-only,QHD-SB coarse-only,False,False,False,False
197,197,rho=1e+04,0.5467543143799843,2.8292941355370305,0.0006505747665694281,0.0002386961640786639,99.79751654432484,196,,0.5378198725705364,1.1489738882201284,0.0016885841396319875,0.0012233473551741536,99.78885661666668,0.008934441809447913,1.680320247316902,-0.0010380093730625595,0.3852782643755112,-0.0009846511910954897,0.19511724374037948,Truncated Newton,QHD-SB coarse-only,False,True,False,False
200,200,rho=1e+04,0.546666219373525,2.8127259126756288,0.0006032893483808113,0.00021124276999626157,99.8048368277592,199,,0.5374677285621519,1.082745385099293,0.0016168089213920375,0.0011854286312662499,99.80218995000001,0.009198490811373139,1.7299805275763358,-0.0010135195730112262,0.373135835904092,-0.0009741858612699883,0.17819948365058172,Truncated Newton,QHD-SB coarse-only,False,True,False,False
220,220,rho=1e+04,0.5288173160482795,-0.5441568439053523,0.0005434876005138165,0.00018611017066705315,99.8193093974084,219,,0.5350027597034605,0.6191532356843554,0.000982359850161602,0.0006354092353588747,99.97552328333333,-0.006185443655180922,-1.1633100795897078,-0.0004388722496477856,0.5532469597820092,-0.00044929906469182157,0.29289812031444495,Truncated Newton,Truncated Newton,True,True,True,False
228,228,rho=1e+04,0.5288803353494533,-0.5323046644415963,0.0005315941182484344,0.00017897160085561525,99.82258680807153,227,,0.5353548939118449,0.6853798956974577,0.0008735795181868242,0.0005051266792650555,99.96218994999998,-0.006474558562391541,-1.217684560139054,-0.00034198539993838975,0.6085240177697795,-0.00032615507840944025,0.354310330858021,Truncated Newton,Truncated Newton,True,True,True,False
229,229,rho=1e+04,0.5288774100639405,-0.5328548293630497,0.0005321429406103484,0.0001793252595571615,99.82243934637512,228,,0.5350027597034605,0.6191532356843554,0.0006794968208931418,0.0003258882768932547,99.97552328333333,-0.006125349639519939,-1.1520080650474052,-0.0001473538802827934,0.78314264945477,-0.00014656301733609323,0.5502660643908336,Truncated Newton,Truncated Newton,True,True,True,False
230,230,rho=1e+04,0.5288786922114542,-0.5326136930421388,0.0005318992101169087,0.000179242439064059,99.8228479268865,229,,0.5354957479871987,0.7118706334270142,0.0008684086033167836,0.000557054995357964,99.90885661666665,-0.0066170557757444515,-1.244484326469153,-0.0003365093931998748,0.6124987800505233,-0.000377812556293905,0.32176794133024095,Truncated Newton,Truncated Newton,True,True,True,False
