label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,0,0,initial,0.5629781250000001,0.46222498069440227,0.3,100.0
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,1,1,rho=1e+02,0.5322261663709653,0.14253181586262276,0.0631477100312477,95.20227161933676
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,2,2,rho=1e+02,0.49460500383345696,0.0512736086406911,0.023905270225651552,97.89611152488348
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,3,3,rho=1e+02,0.49068164894569694,0.04373037902245745,0.02244343041210104,94.19043141060594
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,4,4,rho=1e+02,0.22910424718441091,0.06457355425009463,0.02298407467291022,77.7703932051236
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,5,5,rho=1e+02,0.22910424718441091,0.06457355425009463,0.02298407467291022,77.7703932051236
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,6,6,rho=1e+02,0.21830853400421948,0.06383991629524421,0.022915217455175135,80.61963096917155
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,7,7,rho=1e+02,0.23374691621858157,0.060120393401715495,0.021036752800521807,80.37071029397843
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,8,8,rho=1e+02,0.2402116783736179,0.058156733543347626,0.02032032486999233,81.0406047179314
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,9,9,rho=1e+02,0.2402116783736179,0.058156733543347626,0.02032032486999233,81.0406047179314
