experiment,bus,stage,log_name,source_log,log_created_at,log_datetime,solver_used,N,beam_refine,refine,refine_method,alpha_mode,alpha,rho,rho_max,bound_shrink_factor,bound_min_factor,bound_start_iter,run_duration_minutes,reference_objective,reference_source,record_count,distinct_iteration_count,first_iteration,last_iteration,first_objective,first_l2_norm_h,best_l2_iteration,best_l2_objective,best_l2_objective_gap,best_l2_objective_gap_pct,best_l2_norm_h,best_l2_max_abs_h,best_l2_load_supplied_pct,best_max_h_iteration,best_max_h_objective,best_max_abs_h,best_max_h_l2_norm_h,best_objective_iteration,best_objective,best_objective_l2_norm_h,best_objective_gap_pct,final_iteration,final_objective,final_objective_gap,final_objective_gap_pct,final_l2_norm_h,final_max_abs_h,final_load_supplied_pct,first_l2_le_1e_2_iter,first_l2_le_1e_3_iter,first_l2_le_1e_4_iter,first_l2_le_1e_5_iter,file_size_bytes,file_mtime
before-multi-beam,2,coarse_pre_refine,Buses-2_06-13-2026_13-00-44.txt,logs\before-multi-beam\Buses-2_06-13-2026_13-00-44.txt,2026-06-13 13:00:44,2026-06-13 13:00:44,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,411,411,0,410,0.160024,0.33382426029141615,127,0.6058256954240537,-0.0038140392489462993,-0.6256218274538949,0.0017074526687430763,0.0007130000000000192,99.71866666666666,127,0.6058256954240537,0.0007130000000000192,0.0017074526687430763,0,0.160024,0.33382426029141615,-73.75105477896155,410,0.6091674954303751,-0.0004722392426249611,-0.0774620182653058,0.0041432266646089415,0.0024872276782487712,99.99433333333334,76,,,,852073,2026-06-13 13:37:35
before-multi-beam,2,coarse_pre_refine,Buses-2_06-14-2026_10-44-31.txt,logs\before-multi-beam\Buses-2_06-14-2026_10-44-31.txt,2026-06-14 10:44:31,2026-06-14 10:44:31,QHD with openjij solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,276,276,0,275,4.015,24.177002730412884,256,0.607581689587215,-0.0020580450857849986,-0.33758381692244804,0.014574135178884347,0.008625394814077647,97.98666666666668,271,0.6107953540489838,0.00838592541379013,0.01494613125110214,15,0.08499477152513499,2.1732108708538105,-86.05819688398022,275,0.6107953540489838,0.0011556193759837408,0.18955775194075802,0.01494613125110214,0.00838592541379013,98.90866666666668,,,,,582096,2026-06-15 09:45:14
before-multi-beam,2,coarse_pre_refine,Buses-2_06-22-2026_02-02-28.txt,logs\before-multi-beam\Buses-2_06-22-2026_02-02-28.txt,2026-06-22 02:02:28,2026-06-22 02:02:28,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,236,236,0,235,0.0,0.35247129705764435,135,0.6055654003149538,-0.004074334358046272,-0.6683183733474448,0.002806967913485561,0.0019313305280271864,99.73800000000001,135,0.6055654003149538,0.0019313305280271864,0.002806967913485561,0,0.0,0.35247129705764435,-100.0,235,0.6079681292139537,-0.0016716054590463214,-0.274195621442382,0.002999297512929548,0.00200199999999999,100.13799999999999,57,,,,273956,2026-06-22 04:33:35
before-multi-beam,2,coarse_pre_refine,Buses-2_07-01-2026_22-09-32.txt,logs\before-multi-beam\Buses-2_07-01-2026_22-09-32.txt,2026-07-01 22:09:32,2026-07-01 22:09:32,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.81666666666666,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.160024,0.3341133958167024,93,0.6093566062747579,-0.00028312839824218283,-0.04644192006186209,0.0003217558207837212,0.00015113630759938657,99.95664715333334,96,0.6093750037190012,0.0001443080426388743,0.0003344742416873926,0,0.160024,0.3341133958167024,-73.75105477896155,96,0.6093750037190012,-0.0002647309539988152,-0.043424163311929165,0.0003344742416873926,0.0001443080426388743,99.95854271,26,52,,,5153830,2026-07-01 23:33:21
before-multi-beam,2,post_refine_or_final,Buses-2_06-13-2026_13-00-44.txt,logs\before-multi-beam\Buses-2_06-13-2026_13-00-44.txt,2026-06-13 13:00:44,2026-06-13 13:00:44,QHD with simbi solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,411,411,0,410,0.33806507713415374,0.0673204328396816,310,0.6094698402602038,-0.0001698944127962454,-0.027868001892523253,0.00012558157577351574,8.199999999999874e-05,99.99800000000002,393,0.609575961333735,7.160779790224558e-05,0.00014786754025973553,0,0.33806507713415374,0.0673204328396816,-44.54674492050852,410,0.6097361441261351,9.6409453135049e-05,0.015814168213094136,0.00035943134673672295,0.0003233640390000181,100.023,25,178,,,852073,2026-06-13 13:37:35
before-multi-beam,2,post_refine_or_final,Buses-2_06-14-2026_10-44-31.txt,logs\before-multi-beam\Buses-2_06-14-2026_10-44-31.txt,2026-06-14 10:44:31,2026-06-14 10:44:31,QHD with openjij solver,,,,,,,,,,,,nan,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,276,276,0,275,0.33758077065688374,0.06742220507809234,257,0.6061220315487038,-0.003517703124296223,-0.5770134268205233,0.0016201323110262265,0.0011181008105535795,99.74166666666667,256,0.605867743107415,0.0011142530765329561,0.001623059240992059,16,0.21295249750134373,0.09791873557080025,-65.06912437136866,275,0.60881108916184,-0.0008286455111600199,-0.1359238028676872,0.004595948153145165,0.0037115176100000064,100.60133333333334,189,,,,582096,2026-06-15 09:45:14
before-multi-beam,2,post_refine_or_final,Buses-2_06-22-2026_02-29-16.txt,logs\before-multi-beam\Buses-2_06-22-2026_02-29-16.txt,2026-06-22 02:29:16,2026-06-22 02:29:16,QHD with simbi solver,10,,disabled,,adaptive,5,2,256,0.9,0.01,3,141.1,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,222,222,0,221,0.0,0.3422793800521484,178,0.6074003173883107,-0.002239417284689349,-0.3673345350251051,0.0030150379972971007,0.0016891342661960324,100.10397818333334,177,0.6146085612285702,0.0014634586268922334,0.003275661576420886,0,0.0,0.3422793800521484,-100.0,221,0.6146085612285702,0.004968826555570183,0.8150430939734225,0.003272432909476813,0.0014634586268922334,100.50397818333333,49,,,,10143639,2026-06-22 04:50:22
before-multi-beam,2,post_refine_or_final,Buses-2_07-01-2026_22-09-32.txt,logs\before-multi-beam\Buses-2_07-01-2026_22-09-32.txt,2026-07-01 22:09:32,2026-07-01 22:09:32,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.81666666666666,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.33802069551044756,0.06733211189438992,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,96,0.6096100703531836,5.39762000001387e-06,9.881964090564655e-06,0,0.33802069551044756,0.06733211189438992,-44.55402489607147,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,25,51,72,96,5153830,2026-07-01 23:33:21
coarse only,2,coarse_pre_refine,Buses-2_07-06-2026_11-02-21.txt,logs\coarse only\Buses-2_07-06-2026_11-02-21.txt,2026-07-06 11:02:21,2026-07-06 11:02:21,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.05,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.160024,0.3341133958167024,93,0.6093566062747579,-0.00028312839824218283,-0.04644192006186209,0.0003217558207837212,0.00015113630759938657,99.95664715333334,96,0.6093750037190012,0.0001443080426388743,0.0003344742416873926,0,0.160024,0.3341133958167024,-73.75105477896155,96,0.6093750037190012,-0.0002647309539988152,-0.043424163311929165,0.0003344742416873926,0.0001443080426388743,99.95854271,26,52,,,5153828,2026-07-06 12:25:24
coarse only,2,post_refine_or_final,Buses-2_07-06-2026_11-02-21.txt,logs\coarse only\Buses-2_07-06-2026_11-02-21.txt,2026-07-06 11:02:21,2026-07-06 11:02:21,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.05,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,97,0,96,0.33802069551044756,0.06733211189438992,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,96,0.6096100703531836,5.39762000001387e-06,9.881964090564655e-06,0,0.33802069551044756,0.06733211189438992,-44.55402489607147,96,0.6096100703531836,-2.9664319816435913e-05,-0.0048658770302016695,9.881964090564655e-06,5.39762000001387e-06,99.99759807333332,25,51,72,96,5153828,2026-07-06 12:25:24
