experiment,bus,log_name,source_log,log_created_at,log_datetime,solver_used,N,beam_refine,refine,refine_method,alpha_mode,alpha,rho,rho_max,bound_shrink_factor,bound_min_factor,bound_start_iter,run_duration_minutes,reference_objective,reference_source,main_record_count,all_record_count,distinct_iteration_count,first_iteration,last_iteration,answer_types,first_objective,first_l2_norm_h,best_l2_iteration,best_l2_objective,best_l2_objective_gap,best_l2_objective_gap_pct,best_l2_norm_h,best_l2_max_abs_h,best_l2_load_supplied_pct,best_l2_note,best_max_h_iteration,best_max_h_objective,best_max_abs_h,best_max_h_l2_norm_h,best_objective_iteration,best_objective,best_objective_l2_norm_h,best_objective_gap_pct,final_iteration,final_objective,final_objective_gap,final_objective_gap_pct,final_l2_norm_h,final_max_abs_h,final_load_supplied_pct,first_l2_le_1e_2_iter,first_l2_le_1e_3_iter,first_l2_le_1e_4_iter,first_l2_le_1e_5_iter,file_size_bytes,file_mtime
before-multi-beam,2,Buses-2_07-01-2026_22-09-32.txt,logs\before-multi-beam\Buses-2_07-01-2026_22-09-32.txt,2026-07-01 22:09:32,2026-07-01 22:09:32,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.81666666666666,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,98,97,0,96,refined,0.33802104925443377,0.06733202249039993,94,0.6096059956036537,-3.373906934633908e-05,-0.0055342635047297434,1.0900591098828532e-05,6.7808246640432834e-06,99.99700000000001,refined_objective_best_from_top_10_active_beam_candidates,94,0.6096059956036537,6.7808246640432834e-06,1.0900591098828532e-05,0,0.33802104925443377,0.06733202249039993,-44.5539668709845,96,0.6096100001731037,-2.973449989629451e-05,-0.004877388760141032,1.2900754357666905e-05,7.619262827607276e-06,99.99766666666665,25,51,72,,5153830,2026-07-01 23:33:21
coarse only,2,Buses-2_07-06-2026_11-02-21.txt,logs\coarse only\Buses-2_07-06-2026_11-02-21.txt,2026-07-06 11:02:21,2026-07-06 11:02:21,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,83.05,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,97,98,97,0,96,refined,0.33802104925443377,0.06733202249039993,94,0.6096059956036537,-3.373906934633908e-05,-0.0055342635047297434,1.0900591098828532e-05,6.7808246640432834e-06,99.99700000000001,refined_objective_best_from_top_10_active_beam_candidates,94,0.6096059956036537,6.7808246640432834e-06,1.0900591098828532e-05,0,0.33802104925443377,0.06733202249039993,-44.5539668709845,96,0.6096100001731037,-2.973449989629451e-05,-0.004877388760141032,1.2900754357666905e-05,7.619262827607276e-06,99.99766666666665,25,51,72,,5153828,2026-07-06 12:25:24
multi_beam,2,Buses-2_07-03-2026_17-29-20.txt,logs\multi_beam\Buses-2_07-03-2026_17-29-20.txt,2026-07-03 17:29:20,2026-07-03 17:29:20,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,90.95,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,106,107,106,0,105,refined,0.33802104925443377,0.06733202249039993,105,0.609632025305615,-7.709367385033694e-06,-0.0012645775769797654,1.1475124545464925e-05,6.268295045977479e-06,99.99933333333335,refined_objective_best_from_top_10_active_beam_candidates,105,0.609632025305615,6.268295045977479e-06,1.1475124545464925e-05,0,0.33802104925443377,0.06733202249039993,-44.5539668709845,105,0.609632025305615,-7.709367385033694e-06,-0.0012645775769797654,1.1475124545464925e-05,6.268295045977479e-06,99.99933333333335,25,51,74,,5699454,2026-07-03 19:00:17
single_beam,2,Buses-2_07-07-2026_21-37-55.txt,logs\single_beam\Buses-2_07-07-2026_21-37-55.txt,2026-07-07 21:37:55,2026-07-07 21:37:55,QHD with simbi solver,1,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,8.966666666666667,0.609639734673,SLSQP reference from plot_qhd_convergence_diagnostics.py case model,102,103,102,0,101,refined,0.33806507713415374,0.0673204328396816,100,0.609607997888375,-3.173678462498053e-05,-0.005205826133036355,1.0602339730089204e-05,6.285230982949752e-06,99.99733333333333,refined_objective_best_from_top_1_active_beam_candidates,100,0.609607997888375,6.285230982949752e-06,1.0602339730089204e-05,0,0.33806507713415374,0.0673204328396816,-44.54674492050852,101,0.60960399331894,-3.574135406003709e-05,-0.0058627008751665636,1.1003045328674997e-05,8.941610232515718e-06,99.99733333333333,25,51,72,,468876,2026-07-07 21:46:53
before-multi-beam,3,Buses-3_07-02-2026_15-33-59.txt,logs\before-multi-beam\Buses-3_07-02-2026_15-33-59.txt,2026-07-02 15:33:59,2026-07-02 15:33:59,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,128,512,0.5,0.0009765625,2,1380.1833333333334,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,341,342,341,0,340,refined,0.29877550507475253,0.04457783756682465,307,0.5316401033497575,-7.055262324251466e-05,-0.013268988020074075,1.4345294969988368e-05,7.024559320834012e-06,99.99566666666666,refined_objective_best_from_top_10_active_beam_candidates,281,0.53162425794492,6.213635356050462e-06,1.8322719660861084e-05,0,0.29877550507475253,0.04457783756682465,-43.80862942684298,340,0.5316189761439375,-9.167982906255201e-05,-0.017242428383306176,2.404498678549284e-05,1.6610747532230796e-05,99.994,38,82,127,,33025883,2026-07-03 14:34:10
coarse only,3,Buses-3_07-06-2026_11-02-23.txt,logs\coarse only\Buses-3_07-06-2026_11-02-23.txt,2026-07-06 11:02:23,2026-07-06 11:02:23,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,128,512,0.5,0.0009765625,2,1380.0166666666667,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,341,342,341,0,340,refined,0.29877550507475253,0.04457783756682465,307,0.5316401033497575,-7.055262324251466e-05,-0.013268988020074075,1.4345294969988368e-05,7.024559320834012e-06,99.99566666666666,refined_objective_best_from_top_10_active_beam_candidates,281,0.53162425794492,6.213635356050462e-06,1.8322719660861084e-05,0,0.29877550507475253,0.04457783756682465,-43.80862942684298,340,0.5316189761439375,-9.167982906255201e-05,-0.017242428383306176,2.3115670077853554e-05,1.5610747532229796e-05,99.994,38,82,127,,33062487,2026-07-07 10:02:24
multi_beam,3,Buses-3_07-03-2026_17-31-49.txt,logs\multi_beam\Buses-3_07-03-2026_17-31-49.txt,2026-07-03 17:31:49,2026-07-03 17:31:49,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,128,512,0.5,0.0009765625,2,829.35,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,232,233,232,0,231,refined,0.29877550507475253,0.04457783756682465,231,0.5317158092120001,5.15323900007747e-06,0.000969181065338504,1.6525178287898363e-05,1.1978656858008252e-05,99.99966666666667,refined_objective_best_from_top_10_active_beam_candidates,229,0.53161369434327,1.0053566229822897e-05,2.022510116164058e-05,0,0.29877550507475253,0.04457783756682465,-43.80862942684298,231,0.5317158092120001,5.15323900007747e-06,0.000969181065338504,1.6525178287898363e-05,1.1978656858008252e-05,99.99966666666667,38,82,119,,22619942,2026-07-04 07:21:10
single_beam,3,Buses-3_07-07-2026_21-37-55.txt,logs\single_beam\Buses-3_07-07-2026_21-37-55.txt,2026-07-07 21:37:55,2026-07-07 21:37:55,QHD with simbi solver,1,True,,TNC_orig,adaptive,5,128,512,0.5,0.0009765625,2,133.53333333333333,0.531710655973,logs/QCE_result/Buses-3_06-22-2026_05-08-43_vs_44_QCE_analysis.md,326,327,326,0,325,refined,0.29888181238705125,0.044584001002236806,291,0.5316612305606175,-4.942541238250886e-05,-0.009295546708963955,1.1017677859188461e-05,3.999999999976245e-06,99.9966666666667,refined_objective_best_from_top_1_active_beam_candidates,291,0.5316612305606175,3.999999999976245e-06,1.1017677859188461e-05,0,0.29888181238705125,0.044584001002236806,-43.788635975309795,325,0.5315978489431575,-0.0001128070298425099,-0.021215867798639373,2.6533284604683443e-05,1.7756690213283077e-05,99.99333333333333,38,82,120,,2222009,2026-07-07 23:51:27
before-multi-beam,5,Buses-5_07-01-2026_22-11-17.txt,logs\before-multi-beam\Buses-5_07-01-2026_22-11-17.txt,2026-07-01 22:11:17,2026-07-01 22:11:17,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,1380.7333333333333,9.19504654127,5bus-answer.txt / SLSQP cross-check,123,124,123,0,122,refined,7.434923857234807,0.26059599584116233,103,9.194623704141499,-0.00042283712850199606,-0.0045985316833817205,0.0001018180635495311,4.780936858650442e-05,99.99865957446809,refined_objective_best_from_top_10_active_beam_candidates,102,9.194571371938135,4.0441287382231295e-05,0.00012088997046802806,0,7.434923857234807,0.26059599584116233,-19.14207476966277,122,9.19488133967814,-0.00016520159186050876,-0.0017966368209126156,0.00010625793299764993,4.615533725038645e-05,99.9991914893617,32,64,,,19292370,2026-07-02 21:12:01
coarse only,5,Buses-5_07-06-2026_11-02-26.txt,logs\coarse only\Buses-5_07-06-2026_11-02-26.txt,2026-07-06 11:02:26,2026-07-06 11:02:26,QHD with simbi solver,10,True,,TNC_orig,adaptive,5,64,512,0.5,0.0009765625,2,1380.2333333333333,9.19504654127,5bus-answer.txt / SLSQP cross-check,123,124,123,0,122,refined,7.434923857234807,0.26059599584116233,103,9.194623704141499,-0.00042283712850199606,-0.0045985316833817205,0.0001018180635495311,4.780936858650442e-05,99.99865957446809,refined_objective_best_from_top_10_active_beam_candidates,102,9.194571371938135,4.0441287382231295e-05,0.00012088997046802806,0,7.434923857234807,0.26059599584116233,-19.14207476966277,122,9.194684087459375,-0.000362453810625496,-0.003941837694879515,0.00017231330199380713,9.184466274958503e-05,99.99889361702127,32,64,,,19268258,2026-07-07 10:02:40
